1128a1,Conviction of program-related crimes. Minimum Period: 5 years
1128a2,Conviction relating to patient abuse or neglect. Minimum Period: 5 years
1128a3,Felony conviction relating to health care fraud. Minimum Period: 5 years
1128a4,Felony conviction relating to controlled substance. Minimum Period: 5 years
1128b1,Misdemeanor conviction relating to health care fraud. Baseline Period: 3 years
1128b2,Conviction relating to obstruction of an investigation or audit. Baseline Period: 3 years
1128b3,Misdemeanor conviction relating to controlled substance. Baseline Period: 3 years
1128b4,"License revocation, suspension, or surrender. Minimum Period: Period imposed by the state licensing authority"
1128b5,Exclusion or suspension under federal or state health care program. Minimum Period: No less than the period imposed by federal or state health care program
1128b6,"Claims for excessive charges, unnecessary services or services which fail to meet professionally recognized standards of health care, or failure of an HMO to furnish medically necessary services. Minimum Period: 1 year"
1128b7,"Fraud, kickbacks, and other prohibited activities. Minimum Period: None"
1128b8,Entities controlled by a sanctioned individual. Minimum Period: Same as length of individual's exclusion
1128b9,"Failure to disclose required information, supply requested information on subcontractors and suppliers; or supply payment information. Minimum Period: None"
1128b10,"Failure to disclose required information, supply requested information on subcontractors and suppliers; or supply payment information. Minimum Period: None"
1128b11,"Failure to disclose required information, supply requested information on subcontractors and suppliers; or supply payment information. Minimum Period: None"
1128b12,Failure to grant immediate access. Minimum Period: None
1128b13,Failure to take corrective action. Minimum Period: None
1128b14,Failure to take corrective action. Minimum Period: None
1128b15,Individuals controlling a sanctioned entity. Minimum Period: Same as length of entity's exclusion
1128b16,Making false statement or misrepresentations of material fact. Minimum period: None
